symptom_number,Q0,sentence-id,position_in_ranking,score,system_name
1,Q0,s_3096_1876_0,1,0.7375082,system_name
1,Q0,s_2643_1433_0,2,0.73222804,system_name
1,Q0,s_773_1394_1,3,0.72740144,system_name
1,Q0,s_2412_734_0,4,0.72740144,system_name
1,Q0,s_2059_1621_0,5,0.72740144,system_name
1,Q0,s_2643_1505_0,6,0.7254178,system_name
1,Q0,s_3096_1786_0,7,0.70457757,system_name
1,Q0,s_2759_135_0,8,0.7043702,system_name
1,Q0,s_2024_318_0,9,0.69591784,system_name
1,Q0,s_1766_59_0,10,0.6939913,system_name
1,Q0,s_2774_559_0,11,0.69291914,system_name
1,Q0,s_2324_738_0,12,0.69264144,system_name
1,Q0,s_337_217_1,13,0.68889344,system_name
1,Q0,s_2544_1073_0,14,0.688112,system_name
1,Q0,s_2606_625_3,15,0.6879401,system_name
1,Q0,s_549_58_59,16,0.68584627,system_name
1,Q0,s_2007_781_1,17,0.6837231,system_name
1,Q0,s_2972_0_0,18,0.6828872,system_name
1,Q0,s_1625_173_2,19,0.68004346,system_name
1,Q0,s_2292_1189_16,20,0.6794859,system_name
1,Q0,s_341_664_0,21,0.6783332,system_name
1,Q0,s_393_1505_1,22,0.6777693,system_name
1,Q0,s_797_38_0,23,0.67657286,system_name
1,Q0,s_267_548_0,24,0.67650175,system_name
1,Q0,s_433_397_1,25,0.6744561,system_name
1,Q0,s_2139_27_1,26,0.6736331,system_name
1,Q0,s_796_434_1,27,0.67311686,system_name
1,Q0,s_2130_1289_12,28,0.6699215,system_name
1,Q0,s_682_709_0,29,0.6694536,system_name
1,Q0,s_1189_14_1,30,0.6691821,system_name
1,Q0,s_2088_751_1,31,0.66884464,system_name
1,Q0,s_2176_573_1,32,0.6680269,system_name
1,Q0,s_2447_24_2,33,0.6678008,system_name
1,Q0,s_313_157_1,34,0.6678008,system_name
1,Q0,s_574_963_3,35,0.6678008,system_name
1,Q0,s_1700_335_0,36,0.6678008,system_name
1,Q0,s_429_35_14,37,0.6653082,system_name
1,Q0,s_2727_286_9,38,0.6651875,system_name
1,Q0,s_2117_944_1,39,0.66505456,system_name
1,Q0,s_1095_653_0,40,0.66449285,system_name
1,Q0,s_2062_560_0,41,0.66449285,system_name
1,Q0,s_2464_397_0,42,0.66449285,system_name
1,Q0,s_1900_622_0,43,0.66357815,system_name
1,Q0,s_73_1150_3,44,0.6627933,system_name
1,Q0,s_504_603_1,45,0.661626,system_name
1,Q0,s_651_824_0,46,0.65911186,system_name
